epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.74662,3.44256,4.55431,2.20957,0.00311,0.15916,0.00208,0.00072,2.3968,3.97099,1.83884,5.454e-05,5.454e-05,5.454e-05
2,11.7224,2.72083,3.60006,1.75728,0.53594,0.23421,0.17644,0.06436,2.32035,6.3176,1.42402,0.000117,0.000117,0.000117
3,16.0254,1.71721,1.978,1.33634,0.40609,0.48111,0.34746,0.12094,2.10215,5.94452,1.47892,0.0001782,0.0001782,0.0001782
4,20.3169,1.57449,1.48833,1.21451,0.55904,0.49533,0.55125,0.24628,1.85125,3.17242,1.31352,0.000238141,0.000238141,0.000238141
5,24.5285,1.37707,1.22918,1.12115,0.86465,0.72434,0.78131,0.39277,1.60689,1.48365,1.13847,0.000296821,0.000296821,0.000296821
6,28.3722,1.33219,1.04742,1.0526,0.86402,0.8177,0.79288,0.41059,1.55413,1.31629,1.11503,0.000354242,0.000354242,0.000354242
7,32.3175,1.38923,0.99052,1.07194,0.75042,0.75572,0.69569,0.33305,1.59942,1.53859,1.13428,0.000410403,0.000410403,0.000410403
8,36.265,1.28049,0.90246,1.04805,0.82774,0.83166,0.8055,0.43276,1.47476,1.46849,1.07372,0.000465303,0.000465303,0.000465303
9,40.0912,1.31112,0.85339,1.02802,0.79113,0.85234,0.82712,0.41762,1.60531,1.12492,1.09718,0.000518944,0.000518944,0.000518944
10,43.6647,1.27284,0.83296,1.01208,0.82465,0.92175,0.86377,0.45829,1.44956,1.06024,1.02725,0.000571326,0.000571326,0.000571326
11,47.6851,1.19003,0.81172,0.99982,0.86003,0.87877,0.85869,0.50889,1.36238,0.96802,1.02103,0.000622447,0.000622447,0.000622447
12,51.7894,1.22341,0.79789,0.99704,0.84496,0.88586,0.87332,0.48453,1.45235,0.98511,1.07992,0.000672308,0.000672308,0.000672308
13,55.1802,1.20287,0.76572,0.9813,0.85664,0.8787,0.88117,0.47469,1.46469,0.98877,1.08728,0.00072091,0.00072091,0.00072091
14,58.6349,1.20037,0.7789,0.99143,0.83732,0.93179,0.89966,0.51349,1.40222,0.91309,1.04669,0.000768251,0.000768251,0.000768251
15,62.5129,1.16689,0.73393,0.95925,0.81791,0.91371,0.86968,0.50011,1.38484,0.89294,1.04687,0.000783013,0.000783013,0.000783013
16,65.9409,1.12988,0.71811,0.9677,0.88294,0.92407,0.91691,0.53379,1.37447,0.80443,1.0566,0.000774013,0.000774013,0.000774013
